source,task,n_trials,mean_path_length,mean_hit_rate,optimal_path_rate,clean_optimal_rate,reached_goal_rate,mean_path_efficiency
actual_subject,1,12,9.583333,0.037831,0.5,0.5,1.0,0.851455
actual_subject,2,13,12.846154,0.047738,0.230769,0.230769,1.0,0.725987
actual_subject,3,12,11.333333,0.028381,0.333333,0.333333,1.0,0.714811
actual_subject,4,50,17.9,0.312998,0.0,0.0,1.0,0.504644
model_context_rollout,1,12,19.75,0.164519,0.25,0.25,0.75,0.638534
model_context_rollout,2,13,22.307692,0.194929,0.076923,0.076923,0.923077,0.519839
model_context_rollout,3,12,21.416667,0.276799,0.083333,0.083333,0.916667,0.483248
model_context_rollout,4,50,35.12,0.245893,0.08,0.08,0.68,0.415492
