epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.371475,0.309741,1.30323,0.369904
2,1.253705,0.398994,1.214646,0.414403
3,1.191956,0.421854,1.191322,0.41826
4,1.17732,0.42883,1.180546,0.423959
5,1.169371,0.431383,1.175343,0.427962
6,1.165667,0.434339,1.172512,0.428385
7,1.163628,0.432753,1.171031,0.427204
8,1.162443,0.432445,1.170042,0.427231
9,1.161575,0.432016,1.169207,0.428672
10,1.16067,0.433185,1.168073,0.428098
11,1.159788,0.433242,1.167439,0.426137
12,1.15909,0.432373,1.166687,0.426478
13,1.158604,0.431885,1.166326,0.425541
14,1.158203,0.430793,1.16595,0.424468
15,1.157946,0.43014,1.165865,0.422236
16,1.157639,0.429269,1.165042,0.425405
17,1.157424,0.429232,1.165092,0.422908
18,1.157115,0.429206,1.164644,0.421835
19,1.156826,0.428795,1.164653,0.425281
20,1.156608,0.429276,1.1663,0.42326
