model,human_distance,human_similarity,length_w1_norm,excess_w1_norm,action_tv,turn_tv,revisit_abs,progress_abs,reached_gap
hardmask_recovery,1.30408,0.441793,0.243881,0.67257,0.039886,0.0485,0.064686,0.029169,0.035
rollout_soft,2.127123,0.373604,0.447179,1.16428,0.039271,0.025311,0.094998,0.096979,0.044231
human_mask_humanselect,2.461999,0.36564,0.53297,1.374369,0.043135,0.038574,0.087549,0.116574,0.040833
human_mask_rolloutselect,2.304196,0.352958,0.486786,1.271954,0.04023,0.013675,0.08941,0.089128,0.085898
context,4.552228,0.191232,0.864964,2.615506,0.043685,0.051107,0.154738,0.186392,0.182564
old_minimal,5.11533,0.169393,1.05039,2.796112,0.038055,0.067318,0.161448,0.178082,0.31032
