model,human_distance,human_similarity,length_w1_norm,excess_w1_norm,action_tv,turn_tv,revisit_abs,progress_abs,reached_gap
hardmask_recovery,1.307209,0.441246,0.244871,0.674512,0.039886,0.0485,0.064686,0.029169,0.035
rollout_soft,2.130689,0.373451,0.448312,1.166488,0.039271,0.025311,0.094998,0.096979,0.044231
human_mask_soft_recovery,2.465722,0.365014,0.533692,1.377225,0.043135,0.038574,0.087549,0.116574,0.040833
context,4.562856,0.190834,0.866948,2.623753,0.043685,0.051107,0.154738,0.186392,0.182564
old_minimal,5.12467,0.169068,1.05228,2.803185,0.038055,0.067318,0.161448,0.178082,0.31032
