epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.927008,0.619114,0.769005,0.696036
2,0.708058,0.723474,0.680403,0.735832
3,0.651007,0.748376,0.643921,0.750475
4,0.622834,0.759888,0.622621,0.760032
5,0.606078,0.766291,0.609782,0.764777
6,0.595185,0.770303,0.601984,0.767453
7,0.587179,0.773016,0.593181,0.771939
8,0.580975,0.774851,0.58951,0.772941
9,0.576009,0.77661,0.588207,0.772795
10,0.571986,0.778091,0.585224,0.773418
11,0.568454,0.779208,0.580638,0.775471
12,0.565443,0.780047,0.580042,0.775319
13,0.562836,0.781213,0.577463,0.775623
14,0.560444,0.78151,0.575784,0.776723
15,0.558278,0.782602,0.575542,0.777058
16,0.556348,0.783213,0.573274,0.777974
17,0.554419,0.783956,0.572694,0.777438
18,0.553053,0.784125,0.571256,0.777579
19,0.551536,0.784757,0.573827,0.777335
20,0.550203,0.785234,0.570648,0.777839
