epoch,train_loss,train_behavior_loss,train_illegal_loss,train_accuracy,train_steps,rollout_constraint_loss,rollout_constraint_steps,rollout_prevented_illegal_rate,rollout_constraint_revisit_rate,rollout_recovery_targets,val_loss,val_behavior_loss,val_illegal_loss,val_accuracy,val_steps,rollout_score,human_similarity_score,trial_weighted_rollout_score,reached_goal_rate,mean_excess_steps,mean_hit_rate,mean_revisit_rate,mean_efficiency,task1_rollout_score,task1_human_similarity_score,task1_reached_goal_rate,task1_mean_hit_rate,task1_mean_excess_steps,task2_rollout_score,task2_human_similarity_score,task2_reached_goal_rate,task2_mean_hit_rate,task2_mean_excess_steps,task3_rollout_score,task3_human_similarity_score,task3_reached_goal_rate,task3_mean_hit_rate,task3_mean_excess_steps,task4_rollout_score,task4_human_similarity_score,task4_reached_goal_rate,task4_mean_hit_rate,task4_mean_excess_steps,selection_metric,selection_value
1,1.19477,1.188005,0.338267,0.476784,4329,0.989632,798,0.025063,0.10401,620,1.062738,1.056295,0.322165,0.563595,1313,-0.126276,0.101223,0.03885,0.430064,31.247115,0.411511,0.111719,0.324905,0.957764,0.070399,0.666667,0.195054,21.75,-1.551,0.06683,0.076923,0.660897,43.538462,-0.201139,0.088308,0.416667,0.599738,28.5,0.289269,0.179355,0.56,0.190354,31.2,human_similarity,0.101223
2,1.031805,1.026265,0.276994,0.574729,4329,0.877528,684,0.048246,0.122807,498,0.961869,0.956085,0.289216,0.612338,1313,0.518682,0.141114,0.686232,0.572628,24.910513,0.354641,0.085028,0.438465,2.061987,0.142056,0.916667,0.11602,11.166667,-1.218214,0.071477,0.153846,0.666923,40.615385,0.282964,0.106532,0.5,0.465414,24.0,0.947991,0.244391,0.72,0.170205,23.86,human_similarity,0.141114
3,0.94777,0.942809,0.248042,0.624163,4329,0.702638,522,0.011494,0.10728,311,0.911194,0.905796,0.269903,0.630617,1313,0.92996,0.20336,1.015906,0.636923,20.078782,0.305642,0.074127,0.532642,2.407284,0.317576,0.916667,0.099449,5.083333,-0.568584,0.084991,0.307692,0.566995,34.538462,0.714975,0.129474,0.583333,0.409815,19.833333,1.166166,0.281401,0.74,0.146311,20.86,human_similarity,0.20336
4,0.886648,0.881877,0.238554,0.644722,4329,0.698185,516,0.040698,0.164729,310,0.881222,0.876211,0.250535,0.649657,1313,1.245105,0.210301,1.265782,0.727051,17.891923,0.22718,0.099212,0.54919,2.313526,0.256419,0.916667,0.080441,6.25,0.029111,0.097399,0.461538,0.358715,31.307692,1.313342,0.17916,0.75,0.331021,14.75,1.324443,0.308227,0.78,0.138544,19.26,human_similarity,0.210301
5,0.808552,0.803865,0.234336,0.687226,4329,0.789262,586,0.025597,0.156997,364,0.880936,0.876089,0.242337,0.662605,1313,1.432562,0.276084,1.25062,0.771346,16.266603,0.184384,0.105617,0.567622,2.70018,0.541197,1.0,0.053306,3.25,0.718953,0.130418,0.615385,0.246603,23.923077,1.276326,0.174143,0.75,0.28874,15.333333,1.034789,0.258579,0.72,0.148886,22.56,human_similarity,0.276084
6,0.722813,0.718185,0.231398,0.726496,4329,0.747967,456,0.013158,0.120614,268,0.897666,0.892923,0.237142,0.65575,1313,1.415052,0.237595,1.310284,0.752308,15.914551,0.162917,0.117896,0.565365,2.476975,0.355599,0.916667,0.059428,4.583333,1.275323,0.181504,0.769231,0.245181,17.461538,0.729043,0.123693,0.583333,0.205055,21.333333,1.178866,0.289586,0.74,0.142005,20.28,human_similarity,0.237595
7,0.632963,0.628358,0.230259,0.75976,4329,0.81752,627,0.019139,0.216906,395,0.975799,0.970859,0.246991,0.639756,1313,1.460646,0.218158,1.420518,0.815577,16.57359,0.210855,0.114526,0.541194,2.536726,0.258624,1.0,0.075724,6.416667,0.970097,0.148009,0.692308,0.256127,21.307692,0.954079,0.131936,0.75,0.343156,20.25,1.381682,0.334063,0.82,0.168413,18.32,human_similarity,0.218158
8,0.547276,0.54257,0.235303,0.798568,4329,1.029592,634,0.0347,0.148265,395,1.025274,1.020404,0.243493,0.637471,1313,1.547656,0.336739,1.493585,0.815577,15.210064,0.212366,0.08559,0.576933,2.805285,0.712927,1.0,0.045951,1.5,0.821689,0.129574,0.692308,0.341623,24.076923,1.120684,0.1488,0.75,0.295653,18.083333,1.442967,0.355656,0.82,0.166234,17.18,human_similarity,0.336739
9,0.466941,0.462148,0.239636,0.825133,4329,1.021157,580,0.017241,0.12069,341,1.078119,1.073341,0.238923,0.647372,1313,1.332793,0.211049,1.320251,0.754679,16.60891,0.215932,0.118185,0.541722,2.389417,0.252199,0.916667,0.047782,6.416667,0.755715,0.147567,0.615385,0.332213,20.692308,0.866776,0.134232,0.666667,0.313672,19.666667,1.319265,0.310198,0.82,0.170063,19.66,human_similarity,0.211049
10,0.372839,0.368034,0.240286,0.860707,4329,1.016617,492,0.004065,0.109756,272,1.155586,1.150916,0.233487,0.651942,1313,1.696593,0.389908,1.539394,0.854038,13.950256,0.181327,0.106593,0.594722,2.763606,0.890758,1.0,0.047631,2.083333,1.368871,0.167912,0.846154,0.281305,19.307692,1.308581,0.172204,0.75,0.219142,15.75,1.345315,0.328757,0.82,0.177228,18.66,human_similarity,0.389908
