epoch,train_loss,train_behavior_loss,train_illegal_loss,train_accuracy,train_steps,rollout_constraint_loss,rollout_constraint_steps,rollout_prevented_illegal_rate,rollout_constraint_revisit_rate,rollout_recovery_targets,val_loss,val_behavior_loss,val_illegal_loss,val_accuracy,val_steps,rollout_score,human_similarity_score,trial_weighted_rollout_score,reached_goal_rate,mean_excess_steps,mean_hit_rate,mean_revisit_rate,mean_efficiency,task1_rollout_score,task1_human_similarity_score,task1_reached_goal_rate,task1_mean_hit_rate,task1_mean_excess_steps,task2_rollout_score,task2_human_similarity_score,task2_reached_goal_rate,task2_mean_hit_rate,task2_mean_excess_steps,task3_rollout_score,task3_human_similarity_score,task3_reached_goal_rate,task3_mean_hit_rate,task3_mean_excess_steps,task4_rollout_score,task4_human_similarity_score,task4_reached_goal_rate,task4_mean_hit_rate,task4_mean_excess_steps,selection_metric,selection_value
11,0.307512,0.302648,0.243196,0.888889,4329,1.219191,504,0.003968,0.152778,303,1.213962,1.20892,0.252105,0.653465,1313,1.625388,0.291758,1.610123,0.833974,14.196346,0.196672,0.093887,0.578222,2.68066,0.454768,1.0,0.042645,3.833333,1.214065,0.171366,0.769231,0.244197,18.615385,1.005562,0.147415,0.666667,0.314388,17.916667,1.601264,0.393482,0.9,0.185458,16.42,human_similarity,0.291758
12,0.261274,0.256283,0.249544,0.906676,4329,0.873525,412,0.026699,0.148058,194,1.296146,1.291355,0.239542,0.644326,1313,1.870788,0.364329,1.70742,0.8975,11.654872,0.168233,0.102725,0.601111,2.69836,0.586523,1.0,0.069048,3.0,2.021225,0.326668,1.0,0.187782,10.846154,1.270767,0.16592,0.75,0.237183,16.333333,1.492801,0.378206,0.84,0.178919,16.44,human_similarity,0.364329
13,0.197038,0.192023,0.250736,0.936706,4329,1.158113,553,0.019892,0.16094,278,1.356047,1.351136,0.245564,0.643564,1313,1.770507,0.377825,1.698573,0.888269,13.593974,0.172052,0.107844,0.582567,2.80096,0.773586,1.0,0.043975,1.666667,1.636427,0.211745,0.923077,0.238297,15.769231,1.035298,0.129262,0.75,0.247089,21.0,1.609344,0.396708,0.88,0.158845,15.94,human_similarity,0.377825
14,0.161738,0.156646,0.254614,0.949873,4329,1.132519,452,0.013274,0.123894,216,1.427559,1.422966,0.229678,0.640518,1313,1.873397,0.368169,1.705928,0.879872,11.474744,0.158825,0.099074,0.624585,2.829444,0.658416,1.0,0.04246,1.333333,1.48928,0.207568,0.846154,0.253183,15.692308,1.674775,0.219325,0.833333,0.18264,12.833333,1.50009,0.387367,0.84,0.157015,16.04,human_similarity,0.368169
15,0.133095,0.127991,0.255185,0.959806,4329,1.316143,487,0.00616,0.149897,243,1.475495,1.47085,0.232272,0.644326,1313,1.94272,0.374133,1.845691,0.943333,11.905128,0.145602,0.106145,0.572147,2.861944,0.593828,1.0,0.01746,1.083333,1.987132,0.339956,1.0,0.225362,10.153846,1.202399,0.131238,0.833333,0.16906,21.083333,1.719406,0.43151,0.94,0.170527,15.3,human_similarity,0.374133
16,0.10083,0.095704,0.25634,0.970432,4329,1.25137,440,0.006818,0.118182,216,1.595412,1.590786,0.23128,0.640518,1313,1.826766,0.342601,1.623522,0.859038,12.254295,0.145188,0.106378,0.63502,2.850903,0.615669,1.0,0.022669,1.166667,1.702603,0.270383,0.846154,0.23243,12.153846,1.388847,0.173024,0.75,0.159798,15.916667,1.364711,0.311329,0.84,0.165856,19.78,human_similarity,0.342601
17,0.082227,0.077115,0.255616,0.978286,4329,1.532704,506,0.013834,0.108696,269,1.592992,1.588325,0.233344,0.642803,1313,1.852654,0.42802,1.712346,0.878269,11.534936,0.161776,0.084439,0.60536,2.817903,0.86093,1.0,0.012363,2.083333,1.818407,0.302999,0.923077,0.253825,10.923077,1.241984,0.157087,0.75,0.223078,17.333333,1.532324,0.391065,0.84,0.157838,15.8,human_similarity,0.42802
18,0.063525,0.058309,0.260793,0.984523,4329,1.35358,460,0.006522,0.132609,245,1.649893,1.645541,0.217618,0.639756,1313,1.804247,0.356879,1.769015,0.9075,13.528205,0.153876,0.134739,0.57209,2.719924,0.581929,1.0,0.029798,3.083333,1.96446,0.293729,1.0,0.213146,11.846154,0.813237,0.107818,0.75,0.232285,25.083333,1.719368,0.444041,0.88,0.140277,14.1,human_similarity,0.356879
19,0.06686,0.061696,0.258246,0.985678,4329,1.628024,562,0.007117,0.133452,328,1.641722,1.63722,0.225079,0.645088,1313,1.920849,0.393554,1.845586,0.899872,10.666346,0.160262,0.09842,0.608674,2.829236,0.663941,1.0,0.022669,1.333333,1.494842,0.234398,0.846154,0.286521,13.615385,1.599569,0.201454,0.833333,0.170244,13.916667,1.759748,0.474423,0.92,0.161617,13.8,human_similarity,0.393554
20,0.042502,0.037325,0.258845,0.992608,4329,1.491307,440,0.004545,0.156818,216,1.670685,1.666127,0.227911,0.647372,1313,1.938223,0.374449,1.782507,0.9075,10.675577,0.164309,0.096487,0.613532,2.861944,0.593828,1.0,0.01746,1.083333,1.917687,0.31678,1.0,0.281573,10.692308,1.391002,0.180768,0.75,0.189516,15.166667,1.582257,0.406422,0.88,0.168687,15.76,human_similarity,0.374449
