task_group,progress_bin,n_steps,mean_hidden_norm,mean_choice_confidence,mean_PC1,sem_PC1,mean_PC2,sem_PC2,mean_PC3,sem_PC3
task1_3,0,8420,1.260339202604513,1.2834299688664372,-0.00011344709915320827,0.008344459378698916,-0.027890411827990496,0.00642189606643227,-0.0357200795053456,0.006770439186936328
task1_3,1,5147,1.3929438804429766,1.7047261545400485,-0.012988390681340587,0.012190707514683579,0.055636534706059844,0.009634295055682467,-0.017035136729384108,0.008360090960789221
task1_3,2,5984,1.381441358349766,1.7164138305660244,0.009061573491107118,0.011232046784459479,0.030026276232132353,0.009130614969609553,-0.0015293293335999325,0.007730708587716743
task1_3,3,5235,1.3739397931719197,1.679295892436151,0.0060539928634267244,0.01194307751630773,0.060904459682334294,0.009725746800448035,0.007174923546317861,0.008190230474744702
task1_3,4,4451,1.386872839492249,1.7278552988076745,-0.0316068972929162,0.013188067473045335,0.05395483473176165,0.010537469234609464,0.003933643887963377,0.009003052484633334
task1_3,5,6555,1.3705576819405036,1.8248453755587428,0.0030552512673333336,0.010645956535748157,0.03273469432461552,0.008873425076503613,0.02241417030557437,0.007400579460185807
task1_3,6,5891,1.3627624974758106,1.7851121956187572,-0.01629904158671533,0.010911149673772158,0.027711051134165676,0.009255111620276861,0.02479131991449839,0.007943125180648472
task1_3,7,5203,1.3563427666999808,1.7852054067060041,-0.012868924743384587,0.011385478388420463,0.029163640312146837,0.009698024336076269,0.024212023344032097,0.008526978901003198
task1_3,8,5755,1.3711081575499564,1.926629465840695,-0.008320231701548914,0.010739728379942144,0.010351316292165073,0.009597584017760874,0.004328040760189401,0.008267161774375007
task1_3,9,8680,1.3514384958122119,1.9018732558074354,0.03863657451387097,0.008334575244488714,0.04183287222668318,0.008020182045247973,-0.07177594878989631,0.0064447320499147
task4,0,22979,1.1180008003779973,1.0361496665136538,0.008057990837002045,0.004811914083626529,-0.01913693368255755,0.003743177968875959,-0.020426020361133643,0.0034340539527637033
task4,1,17851,1.2536132609587698,1.2595748661863302,-0.00585340601843471,0.0060962449278864845,-0.012292525264631338,0.0047046990180166035,-0.007801431995865499,0.004142198098236833
task4,2,16514,1.2525717036088773,1.2502413899210352,-0.007966615213052319,0.0064118784759669345,-0.026478368912365265,0.004944896197975179,0.009553571411710489,0.004241320295212878
task4,3,13909,1.2566448496580631,1.2629226566322718,-0.003570783713183694,0.006943038624142376,-0.01179114308064994,0.005516763839699038,0.009390172711253865,0.004622984647005696
task4,4,11324,1.2622817742705756,1.299576551978083,0.0031025096448392795,0.007749102919368953,-0.003198722260117008,0.006126579753004687,0.008806902086012274,0.005141075013721067
task4,5,10995,1.257242226546612,1.324434948784338,0.009239077090876763,0.0077521947377483524,-0.012209070798738427,0.006296303801280172,0.03694502727537735,0.005252398015871311
task4,6,8967,1.2542632500802944,1.3162915727018847,-0.005163138019311921,0.008491243186534204,-0.005145771382408564,0.006882108109635256,0.025301439359871773,0.0058971355647408465
task4,7,7295,1.248680588111035,1.328571288360348,-0.008840109196367374,0.009150941097826097,-0.011888050301570939,0.0077593441986839005,0.015213685472106922,0.006553929527873477
task4,8,6583,1.2377504309965062,1.3619084417416247,-0.0022785908747470747,0.009324804782731538,-0.015549243207033268,0.008312106880206293,0.013145183922851283,0.007053514018706551
task4,9,6853,1.2506553083861083,1.5609800071175923,0.009871998735639867,0.009088955812499546,-0.011133552060019846,0.008291405707172583,-0.012896679413099372,0.007067472729678162
