pc,variance_ratio,variance_cumulative_ratio
1,0.21461983,0.21461983
2,0.13288571,0.34750554
3,0.10169702,0.44920257
4,0.085645124,0.5348477
5,0.07101423,0.6058619
6,0.06387172,0.66973364
7,0.05231147,0.7220451
8,0.048960865,0.771006
9,0.041530892,0.8125369
10,0.035131007,0.84766793
