state,n_test,accuracy
0,83,0.0
1,97,0.0
2,238,0.0
3,259,0.444015444015444
4,173,0.0
5,132,0.0
6,60,0.0
7,180,0.0
8,288,0.0
9,321,0.0
10,403,0.0024813895781637717
11,380,0.0
12,335,0.0
13,123,0.0
14,211,0.0
15,372,0.0
16,374,0.040106951871657755
17,445,0.11235955056179775
18,557,0.8168761220825853
19,345,0.04057971014492753
20,148,0.7162162162162162
21,98,0.0
22,368,0.0
23,432,0.06944444444444445
24,298,0.0
25,534,0.653558052434457
26,398,0.05025125628140704
27,170,0.0
28,201,0.0
29,320,0.0625
30,405,0.0
31,406,0.0
32,412,0.1796116504854369
33,381,0.0
34,166,0.0
35,172,0.0
36,233,0.0
37,351,0.0
38,327,0.0
39,264,0.0
40,237,0.0
41,134,0.0
42,31,0.0
43,47,0.0
44,138,0.0
45,163,0.1901840490797546
46,177,0.0
47,79,0.0
48,34,0.0
