goal,n_test,accuracy
0,413,0.4721549636803874
1,418,0.08133971291866028
2,324,0.021604938271604937
3,241,0.0
4,97,0.0
5,181,0.0
6,163,0.0
7,268,0.0
8,423,0.04964539007092199
9,514,0.5252918287937743
10,314,0.006369426751592357
11,246,0.0
12,242,0.0
13,222,0.0045045045045045045
14,294,0.0
15,307,0.0
16,385,0.0
17,317,0.0
18,242,0.0
19,356,0.19662921348314608
20,319,0.0
21,257,0.042801556420233464
22,155,0.0
23,264,0.0
24,500,0.036
25,297,0.0
26,163,0.0
27,163,0.0
28,139,0.0
29,181,0.0
30,180,0.0
31,324,0.0
32,284,0.0
33,274,0.0
34,197,0.0
35,19,0.0
36,196,0.0
37,110,0.0
38,164,0.0
39,498,0.7309236947791165
40,289,0.0
41,261,0.0
42,100,0.0
43,168,0.0
44,121,0.0
45,171,0.0
46,312,0.0
47,268,0.0
48,159,0.0
