epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.131579,0.510542,0.923368,0.633075
2,0.853506,0.66422,0.82864,0.670921
3,0.796524,0.684267,0.794716,0.682574
4,0.771324,0.694114,0.774646,0.692704
5,0.754995,0.70065,0.75997,0.699828
6,0.744195,0.70561,0.750734,0.702629
7,0.736894,0.709214,0.744732,0.705777
8,0.731633,0.711182,0.740066,0.707364
9,0.727595,0.713071,0.736165,0.708827
10,0.724222,0.714828,0.73332,0.711248
11,0.721354,0.7163,0.729646,0.713621
12,0.718783,0.717876,0.727462,0.715122
13,0.716552,0.718922,0.725985,0.714401
14,0.714468,0.719767,0.723253,0.716844
15,0.712663,0.720733,0.722155,0.716167
16,0.711024,0.721379,0.720447,0.718437
17,0.709496,0.722236,0.718987,0.719174
18,0.708102,0.723048,0.717952,0.719607
19,0.706804,0.72329,0.717031,0.720176
20,0.705572,0.723967,0.714934,0.721043
