epoch,train_loss,train_behavior_loss,train_illegal_loss,train_relative_loss,train_next_pos_loss,train_collision_loss,train_distance_delta_loss,train_loop_loss,train_newly_seen_wall_loss,train_accuracy,train_steps,rollout_constraint_loss,rollout_constraint_steps,rollout_prevented_illegal_rate,rollout_constraint_revisit_rate,rollout_recovery_targets,val_loss,val_behavior_loss,val_illegal_loss,val_relative_loss,val_next_pos_loss,val_collision_loss,val_distance_delta_loss,val_loop_loss,val_newly_seen_wall_loss,val_accuracy,val_steps,rollout_score,human_similarity_score,trial_weighted_rollout_score,reached_goal_rate,mean_excess_steps,mean_hit_rate,mean_revisit_rate,mean_efficiency,task1_rollout_score,task1_human_similarity_score,task1_reached_goal_rate,task1_mean_hit_rate,task1_mean_excess_steps,task2_rollout_score,task2_human_similarity_score,task2_reached_goal_rate,task2_mean_hit_rate,task2_mean_excess_steps,task3_rollout_score,task3_human_similarity_score,task3_reached_goal_rate,task3_mean_hit_rate,task3_mean_excess_steps,task4_rollout_score,task4_human_similarity_score,task4_reached_goal_rate,task4_mean_hit_rate,task4_mean_excess_steps,selection_metric,selection_value
11,0.498179,0.282591,0.25028,0.45007,0.50654,0.377953,0.346679,0.373045,0.02277,0.897898,4329,0.0,319,0.097179,0.109718,0,1.307561,0.945063,0.247664,0.904927,0.911903,0.434916,0.456076,0.448678,0.03186,0.709063,1313,2.3389,0.396141,2.328373,0.975769,7.892628,0.055084,0.101287,0.708722,2.647142,0.391696,1.0,0.03195,4.416667,2.048896,0.29763,0.923077,0.056369,12.153846,2.337133,0.40935,1.0,0.051649,8.0,2.322429,0.485889,0.98,0.080367,7.0,human_similarity,0.396141
12,0.431391,0.233748,0.251712,0.403793,0.45517,0.357624,0.335395,0.357074,0.019648,0.919612,4329,0.0,327,0.091743,0.119266,0,1.37226,1.008329,0.262467,0.912006,0.932011,0.417013,0.449856,0.443526,0.039169,0.70297,1313,2.363779,0.512356,2.37157,0.979167,6.821474,0.057367,0.086307,0.690507,2.79125,0.72646,1.0,0.027877,1.5,2.426806,0.613226,1.0,0.030317,6.769231,1.857104,0.23524,0.916667,0.098089,12.416667,2.379957,0.474497,1.0,0.073186,6.6,human_similarity,0.512356
13,0.354166,0.183659,0.25672,0.334113,0.389187,0.319761,0.31102,0.324687,0.0201,0.938323,4329,0.0,320,0.1125,0.1375,0,1.413547,1.045055,0.265405,0.930337,0.939353,0.41675,0.454286,0.448593,0.033414,0.705255,1313,2.416242,0.53056,2.305751,0.99,7.234744,0.058282,0.083339,0.733245,2.80109,0.69835,1.0,0.032186,1.416667,2.403938,0.458938,1.0,0.04744,8.692308,2.296339,0.344973,1.0,0.064575,9.25,2.1636,0.619977,0.96,0.088927,9.58,human_similarity,0.53056
14,0.314937,0.164775,0.253239,0.288461,0.334004,0.288363,0.291638,0.297411,0.015617,0.943636,4329,0.0,271,0.092251,0.103321,0,1.508835,1.117783,0.276934,0.988407,0.970724,0.474189,0.445053,0.495956,0.036581,0.696116,1313,2.207989,0.417966,2.125593,0.949936,8.722051,0.065489,0.106416,0.664736,2.579828,0.396745,1.0,0.058912,4.25,2.127087,0.353154,0.923077,0.04546,10.461538,2.103568,0.342022,0.916667,0.063081,8.916667,2.021474,0.579941,0.96,0.094502,11.26,human_similarity,0.417966
15,0.266761,0.130603,0.257366,0.251288,0.291653,0.27448,0.283896,0.285618,0.016218,0.956341,4329,0.0,245,0.077551,0.077551,0,1.542003,1.152022,0.259617,0.997725,0.9665,0.454145,0.456613,0.482673,0.028134,0.718203,1313,2.370763,0.55483,2.339176,0.979167,6.649679,0.070202,0.089789,0.703997,2.790641,0.754378,1.0,0.034188,1.583333,2.412838,0.641081,1.0,0.047065,6.615385,1.982234,0.282332,0.916667,0.112098,10.5,2.297338,0.54153,1.0,0.087456,7.9,human_similarity,0.55483
16,0.235189,0.114231,0.256673,0.211342,0.259285,0.255749,0.263817,0.266675,0.013226,0.963271,4329,0.0,336,0.056548,0.151786,0,1.537229,1.150633,0.254049,1.005261,0.964248,0.414807,0.474372,0.455137,0.023268,0.721249,1313,2.340346,0.561857,2.218067,0.969167,6.921603,0.075385,0.092027,0.70678,2.818697,0.642316,1.0,0.043956,1.25,2.586871,0.746167,1.0,0.039722,3.923077,1.901912,0.24738,0.916667,0.114898,11.833333,2.053904,0.611564,0.96,0.102966,10.68,human_similarity,0.561857
17,0.194747,0.086998,0.258686,0.185044,0.223878,0.232827,0.246082,0.245003,0.010307,0.973897,4329,0.0,316,0.066456,0.129747,0,1.610125,1.207023,0.257745,1.063018,0.989163,0.436469,0.452433,0.483276,0.023003,0.713633,1313,2.317565,0.583806,2.244672,0.953333,6.836474,0.070405,0.091528,0.708928,2.545667,0.394092,0.916667,0.011667,4.166667,2.514634,0.944195,1.0,0.049803,4.769231,2.064467,0.343839,0.916667,0.126421,8.75,2.145493,0.653099,0.98,0.093731,9.66,human_similarity,0.583806
18,0.147133,0.060012,0.261342,0.133891,0.178047,0.200922,0.222616,0.218096,0.008199,0.982213,4329,0.0,271,0.02583,0.125461,0,1.666087,1.257719,0.242876,1.078068,0.998917,0.442587,0.465254,0.484175,0.022657,0.700685,1313,2.405543,0.553057,2.327003,0.974167,6.432692,0.05086,0.095662,0.729143,2.861944,0.593828,1.0,0.01746,1.083333,2.461067,0.701112,1.0,0.040828,6.230769,2.074895,0.322554,0.916667,0.057746,9.416667,2.224267,0.594736,0.98,0.087405,9.0,human_similarity,0.553057
19,0.10798,0.038827,0.260373,0.095096,0.142581,0.164947,0.200153,0.180934,0.006535,0.991222,4329,0.0,320,0.040625,0.125,0,1.711165,1.291782,0.242064,1.122762,1.007282,0.446619,0.481447,0.48609,0.021289,0.704494,1313,2.434396,0.552687,2.365025,0.979167,5.650513,0.063715,0.079211,0.728234,2.840278,0.638611,1.0,0.01746,1.25,2.614121,0.68771,1.0,0.042965,3.615385,2.01234,0.316757,0.916667,0.100035,9.416667,2.270844,0.567669,1.0,0.094399,8.32,human_similarity,0.552687
20,0.088582,0.030427,0.261467,0.073814,0.119431,0.142631,0.175286,0.162541,0.005902,0.993994,4329,0.0,301,0.039867,0.152824,0,1.695213,1.276205,0.237505,1.121361,1.012271,0.444584,0.469141,0.491274,0.02059,0.714395,1313,2.417363,0.562664,2.285838,0.974167,6.091282,0.060873,0.078681,0.731939,2.83798,0.619816,1.0,0.028283,1.166667,2.618796,0.675916,1.0,0.039546,3.538462,2.101737,0.339005,0.916667,0.069675,9.0,2.110939,0.615921,0.98,0.105987,10.66,human_similarity,0.562664
