pc,variance_ratio,variance_cumulative_ratio
1,0.13905442,0.13905442
2,0.08072706,0.21978149
3,0.06852828,0.28830975
4,0.055504095,0.34381384
5,0.05154716,0.395361
6,0.040467486,0.4358285
7,0.036174342,0.47200286
8,0.034149937,0.5061528
9,0.031861026,0.5380138
10,0.028500482,0.5665143
