model,human_distance,human_similarity,length_w1_norm,excess_w1_norm,action_tv,turn_tv,revisit_abs,progress_abs,reached_gap
hardmask_recovery,1.311725,0.440469,0.246166,0.677473,0.039886,0.0485,0.064686,0.029169,0.035
rollout_soft,2.136777,0.373232,0.449926,1.170638,0.039271,0.025311,0.094998,0.096979,0.044231
human_mask_old,2.469138,0.36445,0.534554,1.379608,0.043135,0.038574,0.087549,0.116574,0.040833
task_specific_policy,2.38731,0.344515,0.503204,1.287417,0.038966,0.04392,0.055838,0.100643,0.116731
