epoch,train_loss,train_accuracy,train_steps,val_loss,val_accuracy,val_steps
1,1.400164,0.217391,253,1.380004,0.26,100
2,1.305627,0.383399,253,1.335385,0.34,100
3,1.248537,0.426877,253,1.309055,0.38,100
