task,source,sequence_trial_index,start,goal,n_actions,shortest_steps,excess_steps,hit_rate,reached_goal,path_efficiency,revisit_rate,unique_state_fraction,action_entropy,left_frac,up_frac,right_frac,down_frac,straight_frac,turn_frac,reverse_frac,first_action_matches_shortest,shortest_action_alignment,mean_distance_delta,progress_action_frac,stall_action_frac,regress_action_frac,model,source_role,raw_source
1,model_rollout,3,44,30,6,6,0.0,0.0,1,1.0,0.0,1.0,0.792481250360578,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.4,0.6,0.0,1,1.0,1.0,1.0,0.0,0.0,old_minimal,model,model_rollout
1,actual_subject,3,44,30,14,6,8.0,0.1428571428571428,1,0.4285714285714285,0.3333333333333333,0.6666666666666666,0.9620871761502205,0.2857142857142857,0.35714285714285715,0.14285714285714285,0.21428571428571427,0.3076923076923077,0.6923076923076923,0.0,1,0.8571428571428571,0.42857142857142855,0.6428571428571429,0.14285714285714285,0.21428571428571427,old_minimal,actual,actual_subject
1,model_rollout,7,39,38,3,3,0.0,0.0,1,1.0,0.0,1.0,0.792481250360578,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,0.0,1,1.0,1.0,1.0,0.0,0.0,old_minimal,model,model_rollout
1,actual_subject,7,39,38,3,3,0.0,0.0,1,1.0,0.0,1.0,0.792481250360578,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,0.0,1,1.0,1.0,1.0,0.0,0.0,old_minimal,actual,actual_subject
1,model_rollout,11,47,46,3,3,0.0,0.0,1,1.0,0.0,1.0,0.792481250360578,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,0.0,1,1.0,1.0,1.0,0.0,0.0,old_minimal,model,model_rollout
1,actual_subject,11,47,46,3,3,0.0,0.0,1,1.0,0.0,1.0,0.792481250360578,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,0.0,1,1.0,1.0,1.0,0.0,0.0,old_minimal,actual,actual_subject
1,model_rollout,15,20,6,8,8,0.0,0.0,1,1.0,0.0,1.0,0.9528195311147832,0.375,0.25,0.125,0.25,0.14285714285714285,0.8571428571428571,0.0,1,1.0,0.5,0.75,0.0,0.25,old_minimal,model,model_rollout
1,actual_subject,15,20,6,9,8,1.0,0.1111111111111111,1,0.8888888888888888,0.1,0.9,0.9182958340544894,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.125,0.75,0.125,0,0.8888888888888888,0.4444444444444444,0.6666666666666666,0.1111111111111111,0.2222222222222222,old_minimal,actual,actual_subject
1,model_rollout,19,25,0,50,13,37.0,0.32,0,0.26,0.6470588235294118,0.35294117647058826,0.8735689697995374,0.24,0.46,0.24,0.06,0.08163265306122448,0.9183673469387755,0.0,1,0.3939393939393939,0.04,0.36,0.32,0.32,old_minimal,model,model_rollout
1,actual_subject,19,25,0,15,13,2.0,0.0,1,0.8666666666666667,0.0625,0.9375,0.9161314485121345,0.3333333333333333,0.4,0.13333333333333333,0.13333333333333333,0.21428571428571427,0.7142857142857143,0.07142857142857142,1,0.9285714285714286,0.4666666666666667,0.7333333333333333,0.0,0.26666666666666666,old_minimal,actual,actual_subject
1,model_rollout,23,7,19,14,10,4.0,0.1428571428571428,1,0.7142857142857143,0.13333333333333333,0.8666666666666667,0.746307034008563,0.21428571428571427,0.0,0.2857142857142857,0.5,0.07692307692307693,0.9230769230769231,0.0,1,0.8333333333333334,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.2857142857142857,old_minimal,model,model_rollout
1,actual_subject,23,7,19,12,10,2.0,0.0,1,0.8333333333333334,0.07692307692307693,0.9230769230769231,0.7772925846688998,0.25,0.0,0.3333333333333333,0.4166666666666667,0.18181818181818182,0.7272727272727273,0.09090909090909091,1,0.9090909090909091,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,old_minimal,actual,actual_subject
1,model_rollout,27,46,12,8,8,0.0,0.0,1,1.0,0.0,1.0,0.6493974703476993,0.625,0.125,0.0,0.25,0.14285714285714285,0.8571428571428571,0.0,1,1.0,1.0,1.0,0.0,0.0,old_minimal,model,model_rollout
1,actual_subject,27,46,12,12,8,4.0,0.0,1,0.6666666666666666,0.15384615384615385,0.8461538461538461,0.8647869792568111,0.5,0.16666666666666666,0.08333333333333333,0.25,0.18181818181818182,0.7272727272727273,0.09090909090909091,1,0.8888888888888888,0.6666666666666666,0.8333333333333334,0.0,0.16666666666666666,old_minimal,actual,actual_subject
1,model_rollout,31,35,25,18,8,10.0,0.2222222222222222,1,0.4444444444444444,0.21052631578947367,0.7894736842105263,0.8941079061856879,0.2777777777777778,0.05555555555555555,0.2777777777777778,0.3888888888888889,0.058823529411764705,0.9411764705882353,0.0,0,0.0,0.2222222222222222,0.5,0.2222222222222222,0.2777777777777778,old_minimal,model,model_rollout
1,actual_subject,31,35,25,15,8,7.0,0.2,1,0.5333333333333333,0.375,0.625,0.8732328992520361,0.26666666666666666,0.2,0.06666666666666667,0.4666666666666667,0.2857142857142857,0.5714285714285714,0.14285714285714285,1,0.75,0.26666666666666666,0.5333333333333333,0.2,0.26666666666666666,old_minimal,actual,actual_subject
1,model_rollout,35,37,8,7,7,0.0,0.0,1,1.0,0.0,1.0,0.6893917467430878,0.5714285714285714,0.2857142857142857,0.0,0.14285714285714285,0.5,0.5,0.0,1,1.0,1.0,1.0,0.0,0.0,old_minimal,model,model_rollout
1,actual_subject,35,37,8,7,7,0.0,0.0,1,1.0,0.0,1.0,0.6893917467430878,0.5714285714285714,0.2857142857142857,0.0,0.14285714285714285,0.5,0.5,0.0,1,1.0,1.0,1.0,0.0,0.0,old_minimal,actual,actual_subject
1,model_rollout,39,12,44,50,10,40.0,0.36,0,0.2,0.7058823529411765,0.29411764705882354,0.8102844312694042,0.02,0.24,0.48,0.26,0.04081632653061224,0.9591836734693877,0.0,1,0.8888888888888888,0.08,0.36,0.36,0.28,old_minimal,model,model_rollout
1,actual_subject,39,12,44,10,10,0.0,0.0,1,1.0,0.0,1.0,0.6804820237218405,0.0,0.4,0.5,0.1,0.1111111111111111,0.8888888888888888,0.0,1,1.0,1.0,1.0,0.0,0.0,old_minimal,actual,actual_subject
1,model_rollout,43,31,7,10,10,0.0,0.0,1,1.0,0.0,1.0,0.8609640474436813,0.4,0.4,0.1,0.1,0.3333333333333333,0.6666666666666666,0.0,1,1.0,0.8,0.9,0.0,0.1,old_minimal,model,model_rollout
1,actual_subject,43,31,7,10,10,0.0,0.0,1,1.0,0.0,1.0,0.8609640474436813,0.4,0.4,0.1,0.1,0.3333333333333333,0.6666666666666666,0.0,1,1.0,0.8,0.9,0.0,0.1,old_minimal,actual,actual_subject
1,model_rollout,47,25,46,5,5,0.0,0.0,1,1.0,0.0,1.0,0.6854752972273345,0.0,0.2,0.6,0.2,0.25,0.75,0.0,1,1.0,1.0,1.0,0.0,0.0,old_minimal,model,model_rollout
1,actual_subject,47,25,46,5,5,0.0,0.0,1,1.0,0.0,1.0,0.6854752972273345,0.0,0.2,0.6,0.2,0.25,0.75,0.0,1,1.0,1.0,1.0,0.0,0.0,old_minimal,actual,actual_subject
2,model_rollout,51,11,39,9,8,1.0,0.1111111111111111,1,0.8888888888888888,0.1,0.9,0.7177602521413333,0.0,0.2222222222222222,0.5555555555555556,0.2222222222222222,0.25,0.75,0.0,1,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.1111111111111111,0.0,old_minimal,model,model_rollout
2,actual_subject,51,11,39,14,8,6.0,0.0,1,0.5714285714285714,0.0,1.0,0.9176188726560588,0.07142857142857142,0.2857142857142857,0.35714285714285715,0.2857142857142857,0.3076923076923077,0.6923076923076923,0.0,0,0.0,0.5714285714285714,0.7857142857142857,0.0,0.21428571428571427,old_minimal,actual,actual_subject
2,model_rollout,55,23,39,50,10,40.0,0.86,0,0.2,0.8431372549019608,0.1568627450980392,0.6005447975505682,0.0,0.04,0.5,0.46,0.02040816326530612,0.9795918367346939,0.0,1,0.75,0.06,0.1,0.86,0.04,old_minimal,model,model_rollout
2,actual_subject,55,23,39,12,10,2.0,0.0,1,0.8333333333333334,0.07692307692307693,0.9230769230769231,0.9591479170272448,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.18181818181818182,0.7272727272727273,0.09090909090909091,1,0.9090909090909091,0.6666666666666666,0.8333333333333334,0.0,0.16666666666666666,old_minimal,actual,actual_subject
