epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.349771,0.329882,1.223835,0.441343
2,1.127834,0.490898,1.072372,0.516033
3,1.031844,0.53891,1.02462,0.540931
4,1.001627,0.560146,1.002183,0.566934
5,0.981439,0.580165,0.985201,0.577813
6,0.966672,0.59222,0.974616,0.587255
7,0.957779,0.598462,0.966818,0.59154
8,0.950661,0.603714,0.960983,0.597868
9,0.945215,0.60762,0.956684,0.600517
10,0.94164,0.610272,0.953714,0.603085
11,0.938974,0.611939,0.951273,0.604195
12,0.93678,0.613252,0.949508,0.605095
13,0.934793,0.614582,0.94759,0.608161
14,0.932653,0.616166,0.945874,0.607397
15,0.930396,0.617707,0.943052,0.609981
16,0.927767,0.619784,0.940669,0.613112
17,0.924433,0.622167,0.937316,0.615084
18,0.922207,0.624083,0.935166,0.615095
19,0.919867,0.625495,0.932595,0.618757
20,0.917129,0.626859,0.929934,0.62022
