model,task,human_distance,human_similarity,length_w1_norm,excess_w1_norm,action_tv,turn_tv,revisit_abs,unique_abs,efficiency_abs,shortest_alignment_abs,progress_abs,hit_abs,reached_gap
task_specific_policy,1,1.192801,0.456038,0.189189,0.642857,0.033182,0.049236,0.055677,0.055677,0.091257,0.113889,0.091257,0.056935,0.0
task_specific_policy,2,1.573705,0.388545,0.294574,0.95,0.047451,0.053282,0.04266,0.04266,0.082074,0.077217,0.064658,0.019277,0.0
task_specific_policy,3,4.063764,0.197482,0.776786,2.698413,0.008304,0.030715,0.069722,0.069722,0.086682,0.059471,0.089251,0.002857,0.12
task_specific_policy,4,1.111992,0.473487,0.260644,0.53507,0.009399,0.065895,0.05177,0.05177,0.005603,0.008068,0.014538,0.120968,0.057143
