model,source_role,task,n_actions,shortest_steps,excess_steps,hit_rate,reached_goal,path_efficiency,revisit_rate,unique_state_fraction,action_entropy,left_frac,up_frac,right_frac,down_frac,straight_frac,turn_frac,reverse_frac,first_action_matches_shortest,shortest_action_alignment,mean_distance_delta,progress_action_frac,stall_action_frac,regress_action_frac
task_specific_policy,actual,1,9.25,5.75,3.5,0.014583,1.0,0.779152,0.046958,0.953042,0.812889,0.225141,0.268818,0.287097,0.218944,0.378624,0.592502,0.028874,0.75,0.816667,0.75118,0.868298,0.014583,0.117118
task_specific_policy,actual,2,9.923077,6.846154,3.076923,0.019277,1.0,0.753856,0.10876,0.89124,0.829576,0.238253,0.306378,0.24499,0.210379,0.235083,0.672532,0.092385,0.615385,0.830539,0.598986,0.789855,0.019277,0.190869
task_specific_policy,actual,3,8.96,6.44,2.52,0.002857,1.0,0.769257,0.078787,0.921213,0.830243,0.305587,0.281381,0.221738,0.191293,0.279229,0.629817,0.090953,0.68,0.791746,0.74027,0.868707,0.002857,0.128436
task_specific_policy,actual,4,13.757143,6.628571,7.128571,0.300146,1.0,0.542893,0.313479,0.686521,0.807217,0.225024,0.256034,0.252382,0.26656,0.215159,0.726965,0.057876,0.3,0.573903,0.486008,0.592931,0.300146,0.106923
task_specific_policy,model,1,9.333333,5.75,3.583333,0.071518,1.0,0.687895,0.102635,0.897365,0.821418,0.250405,0.245817,0.295015,0.208763,0.329388,0.624905,0.045707,0.666667,0.702778,0.659923,0.794202,0.071518,0.13428
task_specific_policy,model,2,12.846154,6.846154,6.0,0.0,1.0,0.671782,0.0661,0.9339,0.847243,0.26365,0.292789,0.211128,0.232433,0.281593,0.679304,0.039103,0.538462,0.753322,0.534328,0.767164,0.0,0.232836
task_specific_policy,model,3,15.6,6.44,9.16,0.0,0.88,0.682575,0.148509,0.851491,0.858496,0.306375,0.273077,0.22196,0.198587,0.28753,0.652231,0.060239,0.6,0.732275,0.651019,0.82551,0.0,0.17449
task_specific_policy,model,4,16.942857,6.628571,10.314286,0.179178,0.942857,0.53729,0.261709,0.738291,0.841407,0.215625,0.260907,0.254953,0.268515,0.281054,0.671744,0.047202,0.4,0.581971,0.47147,0.646146,0.179178,0.174676
