group_type,group_label,n_samples,n_train,n_test,alpha,train_r2,test_r2,spectral_radius,attractor_like,fixed_point_note,b_PC1,b_PC2,b_PC3,fixed_PC1,fixed_PC2,fixed_PC3,A_PC1_from_PC1,A_PC1_from_PC2,A_PC1_from_PC3,A_PC2_from_PC1,A_PC2_from_PC2,A_PC2_from_PC3,A_PC3_from_PC1,A_PC3_from_PC2,A_PC3_from_PC3,eig1_real,eig1_imag,eig1_abs,eig2_real,eig2_imag,eig2_abs,eig3_real,eig3_imag,eig3_abs
global,all,170468,127851,42617,1.0,0.48297205437900786,0.48230672604639535,0.8410468513938409,True,ok,0.004036018036099915,0.008021260824117717,0.0025326664610698007,0.024518956919598548,0.0224660013161886,-0.0030043949319668983,0.8078156095310767,-0.011952646122843285,-0.3144296736435392,-0.03368300490139638,0.6419762060351876,-0.28224463415247925,-0.11057955571005469,-0.15034324690393008,-0.18367943127535566,-0.2649338923169766,0.0,0.2649338923169766,0.8410468513938409,0.0,0.8410468513938409,0.689999425214044,0.0,0.689999425214044
task_t,task_t=1,16696,12522,4174,10.0,0.36133892862032674,0.3682896533146346,0.6969972739825667,True,ok,-0.008901888754909465,-0.021655876920439583,-0.17101733186358092,0.10753380210290699,0.017311834415307408,-0.14822414364816328,0.6816374157386648,0.029526378276188606,-0.2875744198422632,-0.02629494686150938,0.5501325515389798,-0.21772096309591668,-0.0647430761244691,-0.09371644410997403,-0.21169062030692914,-0.25713800620775384,0.0,0.25713800620775384,0.6969972739825667,0.0,0.6969972739825667,0.5802200791959027,0.0,0.5802200791959027
task_t,task_t=2,18001,13500,4501,10.0,0.3827346515818944,0.3769119393615257,0.7396903934970858,True,ok,-0.041908882612859674,-0.0037492266974874094,-0.17563203983745346,0.017711660308424984,0.05960304817050781,-0.14889454811604777,0.6980150327397578,-0.003588642722754773,-0.3188258563993625,-0.004327468026204112,0.5413963963630849,-0.20927593665562974,-0.11726954518281729,-0.09200432967712777,-0.23035274963268915,-0.29151574472484953,0.0,0.29151574472484953,0.7396903934970858,0.0,0.7396903934970858,0.5608840306979174,0.0,0.5608840306979174
task_t,task_t=3,20341,15255,5086,10.0,0.37232735432422553,0.3672828785443032,0.7388529947401639,True,ok,-0.034551398900817966,-0.028656211808637103,-0.1712672617374444,0.0317868567695658,0.00216264318700193,-0.14243072921167593,0.7004648294841621,0.0391207762166776,-0.3088383835901275,-0.0025937112092771896,0.5192577934656413,-0.2090723803622337,-0.09927339866790783,-0.09513745916596628,-0.22605985650958618,-0.2811976719578583,0.0,0.2811976719578583,0.7388529947401639,0.0,0.7388529947401639,0.5360074436579115,0.0,0.5360074436579115
task_t,task_t=4,115430,86572,28858,1.0,0.5526566234165108,0.5513618577601762,0.8965177599108292,True,ok,0.023433634173015146,0.03065451322180795,0.08333428070180951,0.010152285131635897,0.03291788639326412,0.06368178110975131,0.8651275294593722,-0.0374335858320877,-0.327128662341629,-0.04723081355353172,0.7094343363543019,-0.32364366496628855,-0.1118179361931372,-0.19411357127707599,-0.19043882446384328,-0.2889858318838736,0.0,0.2889858318838736,0.8965177599108292,0.0,0.8965177599108292,0.776591113322876,0.0,0.776591113322876
replan_t,replan_t=0,170468,127851,42617,1.0,0.48297205437900786,0.48230672604639535,0.8410468513938409,True,ok,0.004036018036099915,0.008021260824117717,0.0025326664610698007,0.024518956919598548,0.0224660013161886,-0.0030043949319668983,0.8078156095310767,-0.011952646122843285,-0.3144296736435392,-0.03368300490139638,0.6419762060351876,-0.28224463415247925,-0.11057955571005469,-0.15034324690393008,-0.18367943127535566,-0.2649338923169766,0.0,0.2649338923169766,0.8410468513938409,0.0,0.8410468513938409,0.689999425214044,0.0,0.689999425214044
target_t,target_t=0,42280,31710,10570,1.0,0.49008266846487675,0.49374050978726114,0.9522522863516336,True,ok,0.36809446346186614,0.20915876871232686,0.7180982429938161,2.4942925967996965,0.8194911876719343,0.5586314016762017,0.9242603059554038,-0.03136461773376573,-0.2747329939286045,0.06583652023865619,0.624308419380391,-0.11724792760632438,-0.05895291622752403,-0.15484359876020307,0.20491498597531027,0.9522522863516336,0.0,0.9522522863516336,0.6484169251534818,0.0,0.6484169251534818,0.1528144998059897,0.0,0.1528144998059897
target_t,target_t=1,43322,32491,10831,1.0,0.5187652862605697,0.5182035261674056,1.075224095725757,False,ok,0.001690611469365777,-0.5241018947189579,-0.6441757805024272,-3.013875659667559,1.770170462838341,-0.723444509753469,0.9302623975385345,-0.1837832600967949,-0.15682837172210556,-0.36873942513005925,0.6193723929678161,-0.11962612571124075,-0.09313366597605331,-0.15360949266821222,0.12170530056137915,1.075224095725757,0.0,1.075224095725757,0.5545128283313343,0.0,0.5545128283313343,0.04160316701063877,0.0,0.04160316701063877
target_t,target_t=2,42587,31940,10647,1.0,0.5904104690986371,0.5861912596126728,1.040231568885186,False,ok,0.06898331923102757,0.21844409506863818,0.625996795944808,1.6243274328574864,0.8180104422358279,0.4870596478074288,0.9470263120806167,0.16685304552651348,-0.2451942771713608,0.0739516381705398,0.69303565130542,-0.1795790873279083,-0.1347217203883446,-0.02973996746186816,0.21398332318413213,0.17117028326352557,0.0,0.17117028326352557,1.040231568885186,0.0,1.040231568885186,0.6426434344214569,0.0,0.6426434344214569
target_t,target_t=3,42279,31709,10570,1.0,0.5631124552246535,0.5663982144369717,0.9988983087421044,True,ok,-0.41675124347371917,0.111004593107385,-0.6388748367731071,-274.4424492454555,188.5868893423262,-51.3966734600879,0.9595753986483124,-0.09491119052948785,-0.14050580199682142,-0.2221876882414132,0.6303459496082825,-0.1677768028429956,0.00700252617715786,-0.16699448766738237,0.33743501386934743,0.9988983087421044,0.0,0.9988983087421044,0.6871778416546275,0.0,0.6871778416546275,0.24128021172921088,0.0,0.24128021172921088
