,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,0,0,0,15,0,0,0,0,0,6,0,0,0,0,0,0,22,0,26,0,0,0,0,6,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,20,0,0,0,0,0,33,0,9,6,0,0,0,8,3,56,0,0,0,0,13,22,14,7,0,0,2,3,0,40,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,105,0,0,0,0,0,15,0,0,0,0,0,0,0,0,19,0,0,0,0,0,5,0,1,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,6,0,0,0,0,0,22,0,10,0,0,0,0,15,0,6,0,0,0,0,20,29,27,5,0,0,0,2,0,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,0,0,0,6,0,3,0,0,2,1,0,1,12,0,0,0,5,0,5,24,0,0,0,0,0,0,3,0,0,27,0,0,12,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0,1,0,2,37,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0,1,0,0,146,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,17,0,0,0,0,17,46,10,4,2,0,0,0,0,23,26,0,0,0,0,0,0,0,0,0,0,15,0,0,120,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
9,0,0,0,0,0,0,0,0,0,295,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,6,0,0,0,0,0,3,176,2,0,0,0,0,0,42,9,4,0,0,0,33,0,16,0,0,0,2,23,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,1,0,0,0,0,0,7,11,115,4,0,0,0,0,0,33,43,0,0,0,3,4,78,3,0,0,2,3,0,68,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,8,0,0,0,0,2,8,0,6,32,0,0,4,18,0,135,4,0,0,0,5,29,10,0,0,0,49,0,0,8,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,18,0,0,0,0,0,5,40,9,0,0,0,0,0,1,0,30,0,0,0,0,0,0,0,0,0,0,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,5,0,0,0,0,0,3,29,2,0,0,0,4,0,31,69,0,0,0,0,6,0,2,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,4,0,0,0,0,4,19,26,0,0,0,0,9,1,49,179,0,0,0,0,59,1,3,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,72,0,89,0,0,0,0,13,80,85,0,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,107,30,0,0,0,0,0,0,179,65,0,0,0,0,28,0,4,0,0,0,2,6,3,15,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,0
18,0,0,0,10,0,0,0,0,0,11,41,0,0,0,0,0,0,20,421,0,0,0,0,41,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,18,0,0,0,0,0,0,36,3,0,0,0,0,0,2,0,139,0,0,0,0,0,0,0,0,0,0,1,0,141,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,24,21,0,0,0,0,0,77,0,0,0,0,0,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,14,0,0,0,0,22,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,40,0,0,0,0,0,48,65,0,0,0,0,0,0,70,29,24,0,0,0,15,0,0,0,0,0,3,13,0,56,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
23,0,0,0,2,0,0,0,0,0,45,56,0,0,0,0,3,1,28,49,0,0,0,0,165,1,74,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,0,0,189,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,4,12,9,0,0,0,0,4,10,106,1,0,0,0,16,45,293,0,0,0,18,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,4,0,0,0,0,0,4,0,17,5,0,0,0,2,0,28,13,0,0,0,0,41,69,17,0,0,35,1,0,132,0,0,0,0,29,0,0,0,0,0,0,0,1,0,0,0
27,0,0,0,4,0,0,0,0,1,17,7,1,0,0,0,0,0,22,59,1,0,0,0,15,0,0,0,5,0,0,4,0,30,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
