label,n_samples,n_classes,accuracy,chance,note
state,5000,49,0.26959999999999995,0.0458,
goal,5000,49,0.081,0.0444,
task,5000,4,0.6668000000000001,0.6636,
replan,184591,1,,,too_few_classes_or_samples
target,5000,4,0.7064,0.2568,
prev_action,5000,5,0.6662000000000001,0.2406,
