pc,variance_ratio,variance_cumulative_ratio
1,0.28643808,0.28643808
2,0.16284858,0.44928664
3,0.13911702,0.58840364
4,0.10201207,0.69041574
5,0.091552734,0.7819685
6,0.08579868,0.86776716
7,0.07087494,0.9386421
8,0.061357874,0.99999994
