epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.03494,0.563602,0.860681,0.655216
2,0.798955,0.682925,0.781268,0.687802
3,0.749514,0.703787,0.745195,0.705349
4,0.722463,0.715105,0.722683,0.715403
5,0.704889,0.722968,0.707037,0.721769
6,0.692609,0.728237,0.696747,0.726178
7,0.683449,0.732086,0.689128,0.729992
8,0.676231,0.735281,0.682621,0.7323
9,0.670475,0.737604,0.677117,0.734803
10,0.665578,0.739996,0.671855,0.737988
11,0.661535,0.741858,0.668962,0.739484
12,0.658214,0.74346,0.664937,0.741006
13,0.654829,0.745085,0.662628,0.743227
14,0.652317,0.746232,0.659682,0.743541
15,0.649866,0.747119,0.65803,0.744061
16,0.647637,0.747796,0.655497,0.745031
17,0.645625,0.748689,0.654306,0.746239
18,0.643781,0.749789,0.652432,0.747626
19,0.642161,0.750264,0.650082,0.747452
20,0.640732,0.750583,0.649126,0.748574
