subid,batch,maze,n_trials,mean_n_action,mean_n_hit,mean_hit_rate,mean_shortest_steps,mean_excess_steps,mean_path_efficiency,reached_goal_rate,optimal_by_length_rate,clean_optimal_rate,exact_short_path_rate,mean_total_rt,mean_rt,mean_first_rt,mean_rt_after_first
13943039298,3,2,351,11.917379,2.638177,0.16629,6.566952,5.350427,0.669022,1.0,0.242165,0.242165,0.242165,7.666715,0.752295,2.423174,0.507575
13970002797,2,1,351,10.472934,1.156695,0.091568,7.675214,2.797721,0.797558,1.0,0.307692,0.307692,0.307692,5.507091,0.549533,1.588926,0.413033
13979326545,1,1,351,14.45584,3.128205,0.151353,7.595442,6.860399,0.68506,1.0,0.247863,0.247863,0.247863,14.104541,1.191628,5.672801,0.648853
13982808528,3,2,351,7.871795,0.387464,0.032738,6.264957,1.606838,0.864019,1.0,0.581197,0.581197,0.581197,15.884467,1.980937,8.302157,0.990606
15007963507,3,2,351,13.065527,3.307692,0.195752,6.287749,6.777778,0.609862,1.0,0.188034,0.188034,0.188034,8.665821,0.712744,3.832704,0.431366
15022655023,3,2,349,11.383954,2.389685,0.167399,6.335244,5.048711,0.654876,1.0,0.209169,0.209169,0.209169,7.696481,0.710522,2.063415,0.545788
15057496033,2,1,380,11.118421,0.744737,0.046701,7.784211,3.334211,0.794378,1.0,0.407895,0.407895,0.407895,9.340153,0.854722,2.972455,0.580826
15068447764,2,1,351,13.740741,2.071225,0.121548,7.874644,5.866097,0.700879,1.0,0.210826,0.210826,0.210826,8.994425,0.760186,3.169644,0.432858
15079495784,2,1,351,17.31339,4.837607,0.212343,7.478632,9.834758,0.587378,1.0,0.150997,0.150997,0.150997,11.501915,0.744275,5.237239,0.388337
15082406118,1,1,361,14.362881,3.484765,0.196538,7.836565,6.526316,0.651981,1.0,0.157895,0.157895,0.157895,8.646698,0.6577,2.200238,0.506606
15158707310,3,2,351,12.974359,3.051282,0.173359,6.327635,6.646724,0.635915,1.0,0.222222,0.222222,0.222222,7.789464,0.635218,1.557285,0.521708
15159967392,1,1,351,14.387464,2.920228,0.160998,7.877493,6.509972,0.654781,1.0,0.19943,0.19943,0.19943,13.736194,1.028492,7.072439,0.482534
15165929133,3,2,351,11.7151,2.683761,0.167139,6.153846,5.561254,0.668797,1.0,0.259259,0.259259,0.259259,6.303467,0.581596,1.294493,0.476044
15167050060,3,2,351,11.948718,2.80057,0.18712,6.105413,5.843305,0.622112,1.0,0.182336,0.182336,0.182336,9.022929,0.761356,3.439852,0.502386
15174880230,1,1,372,16.172043,4.456989,0.209099,7.876344,8.295699,0.60844,1.0,0.155914,0.155914,0.155914,10.152129,0.690579,1.920132,0.577065
15237372325,1,1,351,14.222222,2.74359,0.144867,7.809117,6.413105,0.667202,1.0,0.202279,0.202279,0.202279,7.418735,0.534969,1.452393,0.450329
15255858244,1,1,351,17.575499,4.91453,0.225142,7.732194,9.843305,0.566982,1.0,0.082621,0.082621,0.082621,13.73461,0.864888,5.109593,0.533689
15258104730,1,1,350,16.4,4.391429,0.192397,7.648571,8.751429,0.627811,1.0,0.22,0.22,0.22,8.01922,0.545843,1.1816,0.478262
15260233525,1,1,353,10.773371,0.810198,0.052165,7.430595,3.342776,0.788822,1.0,0.407932,0.407932,0.407932,12.847295,1.228404,4.484034,0.81117
15268085725,3,2,351,12.868946,3.287749,0.207357,6.373219,6.495726,0.613007,1.0,0.168091,0.168091,0.168091,7.920852,0.660354,3.033658,0.418803
15333051582,2,1,351,13.803419,3.094017,0.162762,7.598291,6.205128,0.68298,1.0,0.262108,0.262108,0.262108,9.445641,0.75278,2.082402,0.617042
15366611418,1,1,351,16.116809,4.279202,0.203236,7.905983,8.210826,0.604166,1.0,0.162393,0.162393,0.162393,7.903356,0.549973,1.481681,0.467956
15385441183,3,2,351,9.880342,1.287749,0.086675,6.381766,3.498575,0.774792,1.0,0.42735,0.42735,0.42735,6.846037,0.746931,2.666459,0.469815
15504667032,2,1,351,9.618234,0.324786,0.02806,7.863248,1.754986,0.867799,1.0,0.555556,0.555556,0.555556,8.927459,0.927169,4.45206,0.505026
15524517315,1,1,351,14.424501,3.048433,0.153739,7.609687,6.814815,0.670023,1.0,0.242165,0.242165,0.242165,8.553786,0.641086,2.457496,0.451275
15542094621,1,1,309,15.504854,3.514563,0.162656,7.459547,8.045307,0.62111,1.0,0.18123,0.18123,0.18123,8.493362,0.591794,1.393453,0.509005
15551598030,1,1,377,12.02122,1.612732,0.11125,7.840849,4.180371,0.731798,1.0,0.222812,0.222812,0.222812,8.686706,0.786118,3.804178,0.437671
15554019990,1,1,351,10.461538,1.014245,0.069771,7.618234,2.843305,0.819652,1.0,0.45584,0.45584,0.45584,7.337393,0.741043,2.902504,0.468931
15604221997,3,2,351,11.547009,2.62963,0.170126,6.273504,5.273504,0.670625,1.0,0.250712,0.250712,0.250712,7.571912,0.724576,2.00184,0.545109
15626519548,3,2,351,12.168091,2.925926,0.186563,6.381766,5.786325,0.637246,1.0,0.17094,0.17094,0.17094,8.247234,0.701525,2.752274,0.508885
15628625790,3,2,351,11.626781,2.626781,0.171778,6.287749,5.339031,0.656375,1.0,0.207977,0.207977,0.207977,8.115339,0.760074,3.16196,0.483604
15639222703,3,2,386,8.378238,0.834197,0.074865,6.259067,2.119171,0.816385,1.0,0.440415,0.440415,0.440415,9.629578,1.248739,4.458329,0.704621
15661502139,1,1,349,16.91404,4.386819,0.192115,7.604585,9.309456,0.593753,1.0,0.194842,0.194842,0.194842,13.949971,0.906518,3.534129,0.686187
15675230983,3,2,351,12.273504,2.891738,0.17734,6.413105,5.860399,0.653434,1.0,0.250712,0.250712,0.250712,6.515222,0.598153,1.630863,0.463665
15677243724,1,1,351,14.131054,2.837607,0.133633,7.7151,6.415954,0.696805,1.0,0.276353,0.276353,0.276353,10.546034,0.832111,2.453738,0.634498
15685750825,3,2,338,11.464497,2.662722,0.180299,6.33432,5.130178,0.661528,1.0,0.207101,0.207101,0.207101,7.978994,0.751773,2.311175,0.552087
