source,task,n_trials,mean_path_length,mean_hit_rate,optimal_path_rate,clean_optimal_rate,reached_goal_rate,mean_path_efficiency
actual_subject,1,12,9.583333,0.037831,0.5,0.5,1.0,0.851455
actual_subject,2,13,12.846154,0.047738,0.230769,0.230769,1.0,0.725987
actual_subject,3,12,11.333333,0.028381,0.333333,0.333333,1.0,0.714811
actual_subject,4,50,17.9,0.312998,0.0,0.0,1.0,0.504644
model_rollout,1,12,12.0,0.117507,0.416667,0.416667,0.916667,0.820546
model_rollout,2,13,22.769231,0.211988,0.076923,0.076923,0.923077,0.492224
model_rollout,3,12,32.166667,0.414813,0.0,0.0,0.5,0.391686
model_rollout,4,50,36.12,0.367332,0.06,0.06,0.66,0.418136
