epoch,train_loss,train_behavior_loss,train_illegal_loss,train_relative_loss,train_next_pos_loss,train_collision_loss,train_distance_delta_loss,train_loop_loss,train_newly_seen_wall_loss,train_accuracy,train_steps,rollout_constraint_loss,rollout_constraint_steps,rollout_prevented_illegal_rate,rollout_constraint_revisit_rate,rollout_recovery_targets,val_loss,val_behavior_loss,val_illegal_loss,val_relative_loss,val_next_pos_loss,val_collision_loss,val_distance_delta_loss,val_loop_loss,val_newly_seen_wall_loss,val_accuracy,val_steps,rollout_score,human_similarity_score,trial_weighted_rollout_score,reached_goal_rate,mean_excess_steps,mean_hit_rate,mean_revisit_rate,mean_efficiency,task1_rollout_score,task1_human_similarity_score,task1_reached_goal_rate,task1_mean_hit_rate,task1_mean_excess_steps,task2_rollout_score,task2_human_similarity_score,task2_reached_goal_rate,task2_mean_hit_rate,task2_mean_excess_steps,task3_rollout_score,task3_human_similarity_score,task3_reached_goal_rate,task3_mean_hit_rate,task3_mean_excess_steps,task4_rollout_score,task4_human_similarity_score,task4_reached_goal_rate,task4_mean_hit_rate,task4_mean_excess_steps,selection_metric,selection_value
11,0.494338,0.279769,0.250621,0.447257,0.500371,0.374661,0.34929,0.38016,0.02283,0.903211,4329,0.0,372,0.056452,0.104839,0,1.325119,0.962975,0.245721,0.887655,0.928345,0.434238,0.460549,0.452211,0.054345,0.711348,1313,2.27985,0.481079,2.235414,1.0,7.048269,0.157113,0.075917,0.647355,2.677218,0.621004,1.0,0.066845,2.833333,2.110191,0.404333,1.0,0.192432,8.923077,2.149413,0.339287,1.0,0.187221,8.916667,2.182579,0.55969,1.0,0.181952,7.52,human_similarity,0.481079
12,0.431146,0.236008,0.253634,0.397312,0.45022,0.349296,0.335941,0.355822,0.022715,0.921229,4329,0.0,415,0.057831,0.103614,0,1.374841,1.009972,0.24936,0.905977,0.938717,0.418107,0.454561,0.447887,0.057361,0.709825,1313,2.164425,0.407537,2.164402,0.975769,8.860064,0.165107,0.079176,0.642445,2.638452,0.552594,1.0,0.098545,3.083333,1.778028,0.24211,0.923077,0.179534,14.076923,2.066677,0.283346,1.0,0.208896,10.5,2.174541,0.552099,0.98,0.173454,7.78,human_similarity,0.407537
13,0.370895,0.195957,0.253943,0.3506,0.39684,0.318706,0.316859,0.330754,0.017656,0.935089,4329,0.0,376,0.071809,0.154255,0,1.461419,1.085362,0.2595,0.937572,0.967938,0.427344,0.465912,0.460811,0.053565,0.706017,1313,2.144716,0.569293,2.093617,0.954936,8.011538,0.164018,0.091263,0.642911,2.723889,0.946342,1.0,0.056812,2.0,1.971748,0.348987,0.923077,0.214529,9.846154,1.850951,0.272826,0.916667,0.199295,10.5,2.032278,0.709016,0.98,0.185438,9.7,human_similarity,0.569293
14,0.319844,0.168148,0.256019,0.289484,0.343143,0.286384,0.298568,0.301678,0.01669,0.944329,4329,0.0,312,0.041667,0.096154,0,1.480585,1.102694,0.255811,0.962889,0.938471,0.437072,0.442327,0.461363,0.051492,0.713633,1313,2.267273,0.558443,2.227268,0.995,7.599103,0.158902,0.073777,0.661878,2.721111,0.929523,1.0,0.06746,2.0,2.31553,0.546047,1.0,0.184457,6.923077,1.858039,0.210475,1.0,0.213957,13.833333,2.174413,0.547726,0.98,0.169731,7.64,human_similarity,0.558443
15,0.267868,0.132462,0.25593,0.247474,0.298598,0.269634,0.283546,0.28355,0.014667,0.954955,4329,0.0,343,0.03207,0.131195,0,1.540892,1.154208,0.257298,0.985603,0.972775,0.438826,0.45201,0.466467,0.049585,0.702209,1313,1.99308,0.34536,1.94778,0.944936,10.675897,0.170102,0.104388,0.601322,2.527403,0.344292,1.0,0.101265,4.833333,1.796275,0.259859,0.923077,0.20852,13.076923,1.754098,0.222046,0.916667,0.203352,12.833333,1.894546,0.555242,0.94,0.167269,11.96,human_similarity,0.34536
16,0.232798,0.113453,0.256494,0.216405,0.253159,0.240145,0.264087,0.257522,0.013058,0.961192,4329,0.0,429,0.044289,0.193473,0,1.575809,1.179305,0.258288,1.029196,0.97734,0.440102,0.460835,0.471291,0.046297,0.710586,1313,2.246064,0.582515,2.17271,1.0,7.739679,0.172209,0.070521,0.64423,2.744046,0.89389,1.0,0.053906,1.916667,2.183343,0.477242,1.0,0.205803,7.615385,1.977096,0.262074,1.0,0.232587,11.166667,2.079772,0.696854,1.0,0.196538,10.26,human_similarity,0.582515
17,0.180109,0.080496,0.260578,0.167748,0.20331,0.216077,0.239723,0.233069,0.009716,0.975283,4329,0.0,310,0.048387,0.112903,0,1.629978,1.228673,0.248275,1.042324,0.977936,0.457102,0.452035,0.490211,0.044472,0.717441,1313,2.232141,0.508089,2.179228,0.974167,8.051346,0.146454,0.08097,0.674899,2.780486,0.723928,1.0,0.046974,1.5,2.249366,0.42923,1.0,0.180469,8.615385,1.788164,0.224855,0.916667,0.19919,12.75,2.110546,0.654342,0.98,0.159183,9.34,human_similarity,0.508089
18,0.14025,0.056829,0.260394,0.131485,0.169049,0.189026,0.214743,0.205021,0.006569,0.982906,4329,0.0,280,0.028571,0.1,0,1.656183,1.249478,0.239747,1.059583,0.989297,0.462444,0.458557,0.488569,0.045177,0.713633,1313,2.255457,0.510044,2.232365,0.979167,7.261987,0.147529,0.077976,0.664197,2.759653,0.742681,1.0,0.062715,1.583333,2.263943,0.512095,1.0,0.169027,7.384615,1.79587,0.229628,0.916667,0.189711,12.5,2.202364,0.555771,1.0,0.168663,7.58,human_similarity,0.510044
19,0.109719,0.040914,0.260498,0.096846,0.143187,0.158672,0.200962,0.177471,0.006571,0.989605,4329,0.0,336,0.050595,0.14881,0,1.70503,1.287313,0.233674,1.09599,1.019826,0.460868,0.468963,0.495159,0.04487,0.714395,1313,2.303575,0.604121,2.230371,1.0,7.060705,0.151358,0.075624,0.666732,2.780486,0.723928,1.0,0.046974,1.5,2.368537,0.81567,1.0,0.192106,4.846154,1.931009,0.227323,1.0,0.214388,12.916667,2.134267,0.649564,1.0,0.151963,8.98,human_similarity,0.604121
20,0.087247,0.031106,0.260744,0.072167,0.114724,0.132861,0.18209,0.151652,0.005225,0.994687,4329,0.0,308,0.022727,0.136364,0,1.697734,1.276194,0.229193,1.111128,1.017895,0.471609,0.456461,0.505519,0.045296,0.721249,1313,2.310634,0.586883,2.230098,0.995,6.810128,0.142895,0.077675,0.670324,2.780486,0.723928,1.0,0.046974,1.5,2.334242,0.745259,1.0,0.207043,5.153846,2.002182,0.254986,1.0,0.175763,11.666667,2.125628,0.623358,0.98,0.1418,8.92,human_similarity,0.586883
